archivo_original,tamano_patron,tiempo_busqueda_ns,ocurrencias
sources,10,622,6
sources,10,625,6
sources,10,625,6
sources,10,659,6
sources,10,647,6
sources,10,662,6
sources,10,641,6
sources,10,640,6
sources,10,678,6
sources,10,657,6
sources,10,652,6
sources,10,688,6
sources,10,9599,4
sources,10,1028,4
sources,10,792,4
sources,10,810,4
sources,10,765,4
sources,10,746,4
sources,10,729,4
sources,10,769,4
sources,10,791,4
sources,10,732,4
sources,10,783,4
sources,10,771,4
sources,10,762,4
sources,10,776,4
sources,10,762,4
sources,10,824,4
sources,10,774,4
sources,10,777,4
sources,10,795,4
sources,10,774,4
sources,10,736,4
sources,10,744,4
sources,10,757,4
sources,10,778,4
sources,10,768,4
sources,10,766,4
sources,10,740,4
sources,10,741,4
sources,10,759,4
sources,10,773,4
sources,10,10636,104
sources,10,2123,104
sources,10,1770,104
sources,10,1699,104
sources,10,1609,104
sources,10,1635,104
sources,10,1599,104
sources,10,1583,104
sources,10,1631,104
sources,10,1602,104
sources,10,1630,104
sources,10,1642,104
sources,10,1608,104
sources,10,1617,104
sources,10,1672,104
sources,10,1605,104
sources,10,1619,104
sources,10,1603,104
sources,10,1566,104
sources,10,1591,104
sources,10,1620,104
sources,10,1573,104
sources,10,1610,104
sources,10,1619,104
sources,10,1620,104
sources,10,1586,104
sources,10,1558,104
sources,10,1596,104
sources,10,1586,104
sources,10,1572,104
sources,10,36351,698
sources,10,16576,698
sources,10,11805,698
sources,10,9622,698
sources,10,8970,698
sources,10,8496,698
sources,10,8190,698
sources,10,7999,698
sources,10,7959,698
sources,10,7889,698
sources,10,7896,698
sources,10,7876,698
sources,10,7842,698
sources,10,7837,698
sources,10,7735,698
sources,10,7707,698
sources,10,7784,698
sources,10,7800,698
sources,10,7691,698
sources,10,7745,698
sources,10,7732,698
sources,10,7785,698
sources,10,7895,698
sources,10,8184,698
sources,10,7917,698
sources,10,7801,698
sources,10,7712,698
sources,10,7882,698
sources,10,7740,698
